Date,Close,High,Low,Open,Volume
2024-07-01,215.09,215.84,210.29,210.46,60402900
2024-07-02,218.58,218.69,213.45,214.49,58046200
2024-07-03,219.85,219.85,217.35,218.31,37369800
2024-07-05,224.6,224.71,219.95,219.95,60412400
2024-07-08,226.07,226.1,221.54,225.35,59085900
2024-07-09,226.92,227.64,224.63,226.18,48076100
2024-07-10,231.19,231.29,227.49,227.54,62627700
2024-07-11,225.82,230.61,224.04,229.61,64710600
2024-07-12,228.77,230.85,226.92,227.16,53046500
2024-07-15,232.6,235.41,231.3,234.67,62631300
2024-07-16,233.02,234.46,230.55,233.2,43234300
2024-07-17,227.12,229.68,224.9,227.69,57345900
2024-07-18,222.46,228.67,220.56,228.51,66034600
2024-07-19,222.59,225.06,221.57,223.09,49151500
2024-07-22,222.24,226.03,221.38,225.27,48201800
2024-07-23,223.28,225.2,220.97,222.65,39960300
2024-07-24,216.86,223.07,215.46,222.28,61777600
2024-07-25,215.82,219.16,212.97,217.25,51391200
2024-07-26,216.29,217.81,214.35,217.02,41601300
2024-07-29,216.57,217.62,214.09,215.29,36311800
2024-07-30,217.12,218.64,214.46,217.51,41643800
2024-07-31,220.38,222.1,218.94,219.74,50036300
2024-08-01,216.68,222.76,215.35,222.65,62501000
2024-08-02,218.17,223.87,216.04,217.47,105568600
2024-08-05,207.66,211.86,194.5,197.56,119548600
2024-08-06,205.64,208.38,199.53,203.72,69660500
2024-08-07,208.21,212.0,204.81,205.31,63516400
2024-08-08,211.67,212.56,207.23,211.47,47161100
2024-08-09,214.58,215.12,210.34,210.47,42201600
2024-08-12,216.11,218.08,214.19,214.66,38028100
2024-08-13,219.83,220.44,217.58,217.58,44155300
2024-08-14,220.27,221.57,218.27,219.13,41960600
2024-08-15,223.25,223.88,221.31,223.13,46414000
2024-08-16,224.57,225.35,222.19,222.46,44340200
2024-08-19,224.42,224.52,221.58,224.25,40687800
2024-08-20,225.03,225.69,223.98,224.3,30299000
2024-08-21,224.92,226.49,223.58,225.04,34765500
2024-08-22,223.06,226.85,222.44,226.3,43695300
2024-08-23,225.36,226.73,222.87,224.19,38677300
2024-08-26,225.7,225.8,222.43,225.28,30602200
2024-08-27,226.54,227.36,223.42,224.53,35934600
2024-08-28,225.01,228.36,224.21,226.43,38052200
2024-08-29,228.29,231.4,227.39,228.6,51906300
2024-08-30,227.51,228.9,226.0,228.69,52990800
2024-09-03,221.32,227.51,219.73,227.06,50190600
2024-09-04,219.41,220.33,216.06,220.21,43840200
2024-09-05,220.93,224.01,220.07,220.18,36615400
2024-09-06,219.38,223.77,218.34,222.49,48423000
2024-09-09,219.47,219.83,215.3,219.38,67180000
2024-09-10,218.67,220.03,215.32,217.49,51591000
2024-09-11,221.21,221.63,216.47,220.01,44587100
2024-09-12,221.32,222.09,218.39,221.05,37455600
2024-09-13,221.05,222.58,220.46,222.12,36766600
2024-09-16,214.91,215.8,212.52,215.13,59357400
2024-09-17,215.38,215.48,213.1,214.34,45519300
2024-09-18,219.25,221.26,216.12,216.13,59894900
2024-09-19,227.38,228.32,223.16,223.52,66781300
2024-09-20,226.71,231.57,226.13,228.47,318679900
2024-09-23,224.99,227.95,224.34,225.86,54146000
2024-09-24,225.89,227.85,224.26,227.16,43556100
2024-09-25,224.89,225.81,222.56,223.46,42308700
2024-09-26,226.04,227.01,223.94,225.82,36636700
2024-09-27,226.3,228.02,225.82,226.97,34026000
2024-09-30,231.48,231.48,228.15,228.54,54541900
2024-10-01,224.73,228.15,222.28,228.02,63285000
2024-10-02,225.3,225.89,221.56,224.42,32880600
2024-10-03,224.2,225.33,221.86,223.67,34044200
2024-10-04,225.32,226.51,222.67,226.41,37245100
2024-10-07,220.24,224.22,219.89,223.03,39505400
2024-10-08,224.3,224.51,221.79,222.84,31855700
2024-10-09,228.04,228.25,223.36,223.76,33591100
2024-10-10,227.55,228.0,225.69,226.29,28183500
2024-10-11,226.07,227.91,225.86,227.8,31759200
2024-10-14,229.79,230.22,227.11,227.21,39882100
2024-10-15,232.32,235.94,230.85,232.09,64751400
2024-10-16,230.27,230.61,228.34,230.09,34082200
2024-10-17,230.63,232.32,229.02,231.91,32993800
2024-10-18,233.47,234.64,232.48,234.64,46431500
2024-10-21,234.94,235.3,232.92,232.92,36254500
2024-10-22,234.32,234.68,231.08,232.36,38846600
2024-10-23,229.25,233.61,226.27,232.55,52287000
2024-10-24,229.07,229.31,226.92,228.48,31109500
2024-10-25,229.9,231.7,228.07,228.24,38802300
2024-10-28,231.88,233.2,231.03,231.8,36087100
2024-10-29,232.15,232.8,230.8,231.58,35417200
2024-10-30,228.6,231.95,228.05,231.09,47070900
2024-10-31,224.44,228.33,223.9,227.84,64370100
2024-11-01,221.46,223.88,218.83,219.53,65276700
2024-11-04,220.56,221.34,218.28,219.55,44944500
2024-11-05,221.99,222.49,219.7,220.35,28111300
2024-11-06,221.27,224.59,219.75,221.16,54561100
2024-11-07,226.0,226.39,223.1,223.16,42137700
2024-11-08,225.73,227.42,225.18,225.94,38328800
2024-11-11,223.01,224.47,220.3,223.78,42005600
2024-11-12,223.01,224.36,222.15,223.33,40398300
2024-11-13,223.9,225.42,221.55,222.79,48566200
2024-11-14,226.98,227.63,223.78,223.8,44923900
2024-11-15,223.78,225.69,223.05,225.17,47923700
2024-11-18,226.78,228.49,223.95,224.03,44633700
2024-11-19,227.04,228.91,225.43,225.75,36211800
