Date,Close,High,Low,Open,Volume
2024-07-01,181.7,182.58,180.02,181.74,16006100
2024-07-02,183.93,184.26,180.28,180.76,17372500
2024-07-03,184.51,184.78,182.7,183.55,10242100
2024-07-05,189.25,189.51,184.49,184.55,20967500
2024-07-08,187.7,188.83,186.45,188.56,21035900
2024-07-09,187.65,190.01,187.39,188.97,15121400
2024-07-10,189.83,190.4,187.7,187.81,15952500
2024-07-11,184.26,189.51,183.77,188.51,25625800
2024-07-12,183.76,185.79,183.19,183.77,22898400
2024-07-15,185.21,186.91,183.61,183.61,16474000
2024-07-16,182.62,187.35,182.08,186.04,18290700
2024-07-17,179.74,182.25,178.63,181.68,20734100
2024-07-18,176.44,181.21,175.22,180.65,25315700
2024-07-19,176.41,179.02,175.88,177.62,18881900
2024-07-22,180.39,181.41,178.96,179.32,24100300
2024-07-23,180.51,182.31,180.26,180.76,36352700
2024-07-24,171.41,174.95,170.61,172.37,49585200
2024-07-25,166.1,172.2,166.01,171.3,44852000
2024-07-26,165.82,166.9,162.9,165.97,41336900
2024-07-29,168.33,169.23,166.8,167.64,20293800
2024-07-30,169.09,170.02,167.25,169.04,18959700
2024-07-31,170.33,173.02,168.81,172.02,25729100
2024-08-01,169.55,172.82,167.69,169.05,24531400
2024-08-02,165.48,167.32,163.51,165.27,29130100
2024-08-05,158.13,163.27,153.84,154.4,53630700
2024-08-06,157.17,159.44,155.31,158.21,49004600
2024-08-07,157.82,161.83,157.35,160.11,25138600
2024-08-08,160.89,162.53,159.08,159.38,25578800
2024-08-09,162.51,162.63,157.94,158.88,28602300
2024-08-12,161.14,163.74,160.7,163.19,15895300
2024-08-13,163.0,163.57,161.82,162.26,18551700
2024-08-14,159.24,162.07,156.6,161.25,40591100
2024-08-15,160.16,160.5,158.48,159.37,31524300
2024-08-16,161.81,163.89,159.99,160.33,24208600
2024-08-19,165.49,165.51,163.1,164.11,22416200
2024-08-20,166.0,167.45,165.64,165.72,18341500
2024-08-21,164.68,165.67,163.51,163.98,22902000
2024-08-22,162.64,166.41,162.16,166.08,22493300
2024-08-23,164.45,165.01,162.67,163.56,13955700
2024-08-26,164.99,166.37,163.3,165.21,14190400
2024-08-27,163.52,165.27,163.3,164.67,11821900
2024-08-28,161.7,164.43,160.39,163.87,16407400
2024-08-29,160.64,164.8,159.12,163.15,19699800
2024-08-30,162.23,162.5,160.55,161.47,22123800
2024-09-03,156.25,160.71,155.38,160.58,38945300
2024-09-04,155.35,157.88,154.86,155.55,19353800
2024-09-05,156.13,158.32,154.88,155.2,18688700
2024-09-06,149.85,156.72,149.49,156.19,37912100
2024-09-09,147.86,152.52,146.37,151.63,39260500
2024-09-10,147.81,150.4,147.49,149.59,31118800
2024-09-11,150.29,150.63,146.67,149.06,29607700
2024-09-12,153.8,153.93,151.77,152.92,29621500
2024-09-13,156.56,157.47,154.32,154.54,29591200
2024-09-16,157.15,157.34,155.7,156.41,18379800
2024-09-17,158.41,159.63,157.47,158.11,20715600
2024-09-18,158.89,159.58,157.69,158.94,23677300
2024-09-19,161.21,162.85,160.41,162.77,26587700
2024-09-20,162.65,162.79,161.13,162.56,40896400
2024-09-23,160.92,164.54,160.74,163.41,24150900
2024-09-24,161.36,162.28,159.77,162.09,23332100
2024-09-25,160.56,161.88,160.37,160.54,18869200
2024-09-26,161.8,163.14,161.35,162.7,20319300
2024-09-27,163.01,164.75,161.7,161.88,21101300
2024-09-30,164.9,165.2,162.32,162.38,20413900
2024-10-01,166.03,168.19,163.64,166.73,28338100
2024-10-02,164.91,166.56,163.78,165.46,17760200
2024-10-03,164.91,165.68,162.98,163.47,15073100
2024-10-04,166.1,167.26,164.53,167.1,19047400
2024-10-07,162.04,167.51,161.82,166.76,22463100
2024-10-08,163.44,163.78,161.93,163.0,23072700
2024-10-09,160.93,163.89,158.82,162.51,31181800
2024-10-10,161.15,162.13,159.48,159.95,14144100
2024-10-11,162.3,162.96,160.31,161.2,15344300
2024-10-14,164.01,165.28,162.46,162.7,19016100
2024-10-15,164.51,166.72,163.68,164.84,20247200
2024-10-16,164.21,164.85,162.8,163.59,16406000
2024-10-17,161.99,165.41,161.83,164.78,21453400
2024-10-18,162.48,163.76,162.14,162.25,19757700
2024-10-21,163.13,163.56,161.69,162.01,20946500
2024-10-22,164.19,164.82,162.04,162.04,16568100
2024-10-23,161.85,164.87,161.0,163.81,18280500
2024-10-24,161.79,162.39,160.09,161.9,22412500
2024-10-25,164.32,164.64,162.48,162.73,19828900
2024-10-28,165.76,167.78,163.01,167.78,32138600
2024-10-29,168.71,169.4,166.13,166.77,42169000
2024-10-30,173.46,180.97,173.06,179.64,68890800
2024-10-31,170.13,175.8,170.02,172.14,44769000
2024-11-01,170.31,171.33,167.91,169.09,31796500
2024-11-04,168.27,169.75,167.05,168.95,21492700
2024-11-05,168.77,169.55,167.87,168.46,18242100
2024-11-06,175.5,175.92,172.5,172.8,33695500
2024-11-07,179.71,180.04,176.17,176.39,25352900
2024-11-08,177.33,179.86,177.06,179.61,22006200
2024-11-11,179.31,179.51,177.45,177.55,17450400
2024-11-12,180.58,181.44,178.36,178.79,25134900
2024-11-13,177.85,179.92,177.51,179.42,23184000
2024-11-14,174.57,177.79,173.32,177.26,31007500
2024-11-15,171.5,173.14,170.24,172.73,32504600
2024-11-18,174.29,174.43,171.91,172.42,20135300
2024-11-19,177.1,177.84,172.56,172.72,23434900
2024-11-20,174.97,176.66,172.78,176.32,18997100
2024-11-21,166.67,173.13,162.76,172.9,59734400
2024-11-22,163.81,165.5,162.96,164.9,38604600
2024-11-25,166.69,167.66,164.66,165.14,33135300
2024-11-26,168.15,168.84,166.62,166.67,20486700
2024-11-27,168.26,168.51,167.06,168.03,19266500
2024-11-29,167.98,168.46,166.2,167.53,14257200
2024-12-02,170.51,171.09,167.6,167.8,23789100
2024-12-03,170.36,171.69,169.87,170.51,22248700
2024-12-04,173.37,173.91,170.08,170.17,31615100
2024-12-05,171.65,175.05,171.34,174.35,21356200
2024-12-06,173.71,174.07,170.87,171.04,21462400
2024-12-09,174.56,175.45,172.85,173.16,25389600
2024-12-10,184.32,185.5,180.22,182.01,54813000
2024-12-11,194.5,194.71,184.0,184.46,67894100
2024-12-12,191.08,194.28,190.83,194.1,34817500
2024-12-13,188.95,191.84,188.77,190.13,25143500
2024-12-16,195.76,198.08,191.73,191.98,44934900
2024-12-17,194.52,200.49,194.08,196.34,43504000
2024-12-18,187.53,196.09,186.88,194.32,34166100
2024-12-19,187.64,192.14,187.51,190.75,32265200
2024-12-20,190.53,192.0,184.37,184.93,63462900
2024-12-23,193.73,194.2,189.27,191.73,25675000
2024-12-24,195.21,195.21,192.89,193.94,10403300
2024-12-26,194.7,195.84,193.49,194.25,12046600
2024-12-27,191.87,194.42,189.77,194.05,18891400
2024-12-30,190.36,191.66,188.25,188.93,14264700
2024-12-31,188.43,191.08,187.64,190.2,17466900
