Date,Close,High,Low,Open,Volume
2024-07-01,450.64,451.27,439.71,442.67,17662800
2024-07-02,453.15,453.46,447.07,447.15,13979800
2024-07-03,454.62,454.87,451.77,452.08,9932800
2024-07-05,461.32,462.1,452.85,453.48,16000300
2024-07-08,460.02,461.46,458.26,460.33,12962300
2024-07-09,453.41,461.1,451.89,460.77,17207200
2024-07-10,460.03,460.24,452.74,455.07,18196100
2024-07-11,448.63,458.58,445.53,456.8,23111200
2024-07-12,447.5,450.27,444.64,448.27,16324300
2024-07-15,447.9,451.16,445.41,447.25,14429400
2024-07-16,443.52,448.24,440.7,448.16,17175700
2024-07-17,437.6,438.92,433.32,436.69,21778000
2024-07-18,434.5,438.72,428.61,438.41,20794800
2024-07-19,431.28,435.26,426.24,427.32,20940400
2024-07-22,437.03,438.67,433.05,435.9,15808800
2024-07-23,438.92,442.41,437.19,437.98,13107100
2024-07-24,423.18,435.59,421.89,434.57,26805800
2024-07-25,412.82,424.07,411.94,423.08,29943800
2024-07-26,419.6,423.2,411.7,412.62,23583800
2024-07-29,421.04,426.39,419.03,425.82,15125800
2024-07-30,417.28,423.33,411.79,422.01,32687600
2024-07-31,412.77,416.15,406.71,414.89,42891400
2024-08-01,411.55,421.76,407.58,415.18,30296400
2024-08-02,403.04,409.46,398.95,406.99,29437900
2024-08-05,389.88,395.69,380.44,383.98,40709200
2024-08-06,394.28,400.26,393.18,394.66,24946500
2024-08-07,393.11,404.61,392.17,403.19,20650900
2024-08-08,397.32,400.45,394.6,397.07,20203000
2024-08-09,400.6,402.61,396.89,398.64,19276700
2024-08-12,401.38,403.31,398.85,401.63,16762900
2024-08-13,408.49,409.41,404.11,404.13,19414300
2024-08-14,411.3,412.15,406.95,409.27,18267000
2024-08-15,416.16,416.24,412.83,414.95,20752100
2024-08-16,413.63,416.47,412.48,415.74,22775600
2024-08-19,416.66,416.87,411.64,414.12,15234000
2024-08-20,419.89,420.94,416.77,416.82,16387600
2024-08-21,419.24,421.47,416.84,419.18,16067300
2024-08-22,410.75,421.86,409.82,419.45,19361900
2024-08-23,411.97,414.41,407.33,412.16,18493800
2024-08-26,408.71,412.46,406.58,411.56,13152800
2024-08-27,409.06,409.57,405.51,408.09,13492900
2024-08-28,405.85,410.2,402.6,410.08,14882700
2024-08-29,408.34,417.17,405.85,410.14,17045200
2024-08-30,412.32,412.66,407.37,410.79,24308300
2024-09-03,404.71,415.03,402.32,413.08,20313600
2024-09-04,404.17,406.49,399.69,401.22,15135800
2024-09-05,403.67,408.32,401.43,402.91,14195500
2024-09-06,397.06,405.9,396.17,404.33,19609500
2024-09-09,401.03,403.93,397.5,402.53,15295100
2024-09-10,409.41,411.52,402.99,403.48,19594300
2024-09-11,418.15,419.09,404.84,410.7,19266900
2024-09-12,422.06,422.43,414.9,418.42,17395700
2024-09-13,425.61,426.84,420.54,420.91,15874600
2024-09-16,426.35,428.52,423.27,425.62,13834700
2024-09-17,430.12,436.74,427.27,435.14,18874200
2024-09-18,425.83,430.99,425.43,429.97,18898000
2024-09-19,433.62,436.4,431.85,436.13,21706600
2024-09-20,430.24,434.16,429.2,432.16,55167100
2024-09-23,428.5,431.41,425.41,429.26,15128900
2024-09-24,424.21,428.34,421.17,427.99,17015800
2024-09-25,427.11,428.11,423.61,424.86,13396400
2024-09-26,426.32,430.27,424.17,430.06,14492000
2024-09-27,423.07,426.86,422.53,426.53,14896100
2024-09-30,425.32,425.44,420.45,423.26,16807300
2024-10-01,415.83,423.53,413.97,423.5,19092900
2024-10-02,412.31,417.93,411.89,417.69,16582300
2024-10-03,411.72,414.7,409.5,412.8,13686400
2024-10-04,411.25,414.9,410.17,413.4,19169700
2024-10-07,404.8,412.29,404.27,411.19,20919800
2024-10-08,409.92,410.85,403.45,406.15,19229300
2024-10-09,412.63,415.52,409.51,411.05,14974300
2024-10-10,411.03,412.52,408.37,410.43,13848400
2024-10-11,411.51,412.31,408.47,411.33,14144900
2024-10-14,414.29,419.14,412.69,412.94,16653100
2024-10-15,413.9,417.6,410.46,417.3,18900200
2024-10-16,411.31,411.55,405.73,410.37,15508900
2024-10-17,411.9,417.62,410.78,417.48,14820000
2024-10-18,413.33,414.8,411.45,412.32,17145300
2024-10-21,413.94,414.12,408.97,411.31,14206100
2024-10-22,422.57,425.6,413.21,413.65,25482200
2024-10-23,419.69,426.1,417.64,425.88,19654400
2024-10-24,419.82,421.05,417.52,420.41,13581600
2024-10-25,423.2,427.52,421.64,421.83,16899100
2024-10-28,421.66,426.95,421.37,426.67,14882400
2024-10-29,426.96,428.16,420.88,423.05,17644100
2024-10-30,427.53,433.43,427.1,432.38,29749100
2024-10-31,401.65,411.35,401.6,410.56,53971000
2024-11-01,405.63,410.7,402.79,404.28,24230400
2024-11-04,403.74,405.67,400.88,405.06,19672300
2024-11-05,406.7,410.1,403.36,403.65,17626000
2024-11-06,415.32,415.59,405.77,407.65,26681800
2024-11-07,420.51,421.91,415.03,416.41,19901800
2024-11-08,417.65,421.57,416.9,420.4,16891400
2024-11-11,413.18,419.9,411.19,417.63,24503300
2024-11-12,418.14,419.53,412.38,413.41,19401200
2024-11-13,420.28,424.37,413.37,416.77,21502200
2024-11-14,421.95,423.22,415.14,420.09,30246900
2024-11-15,410.2,417.91,408.86,414.97,28247600
2024-11-18,410.95,413.56,407.34,410.07,24727000
2024-11-19,412.96,413.11,406.79,408.33,18133500
2024-11-20,410.69,412.47,405.83,412.05,19191700
2024-11-21,408.91,415.76,406.36,415.48,20780200
2024-11-22,413.0,413.4,407.12,407.43,24814600
2024-11-25,414.78,417.04,410.87,414.37,27691100
2024-11-26,423.89,424.93,414.84,415.57,23458900
2024-11-27,418.94,423.14,417.98,421.04,18332400
2024-11-29,419.4,420.81,413.8,416.06,16271900
2024-12-02,426.85,428.85,417.27,417.53,20207200
2024-12-03,427.07,428.33,423.64,425.72,18302000
2024-12-04,433.23,435.46,428.48,428.88,26009400
2024-12-05,438.38,440.4,431.99,433.72,21697800
2024-12-06,439.32,441.82,437.54,438.06,18821000
2024-12-09,441.75,444.03,436.28,438.36,19144400
2024-12-10,439.08,445.31,437.37,440.13,18469500
2024-12-11,444.69,446.03,439.79,439.79,19200200
2024-12-12,445.25,451.79,444.81,444.81,20834800
2024-12-13,442.98,447.1,441.31,444.14,20177800
2024-12-16,447.26,447.85,441.01,442.98,23598800
2024-12-17,450.1,450.93,445.26,446.69,22733500
2024-12-18,433.2,448.31,432.83,446.99,24444500
2024-12-19,432.84,438.93,432.14,437.39,22963700
2024-12-20,432.42,439.49,424.52,428.96,64263700
2024-12-23,431.08,433.46,428.68,432.55,19152500
2024-12-24,435.12,435.39,430.03,430.48,7164500
2024-12-26,433.91,436.71,432.45,434.87,8194200
2024-12-27,426.4,431.05,422.26,430.44,18117700
2024-12-30,420.76,423.45,417.86,421.98,13158700
2024-12-31,417.46,422.64,416.63,422.02,13246500
